,source,target,value
252,Japan,Russia,1
253,Germany,Russia,1
254,Germany,Italy,1
255,Germany,Italy,1
256,Japan,Russia,1
257,Germany,Russia,1
258,Germany,Italy,1
259,Germany,Italy,1
260,Germany,Italy,1
261,Germany,Italy,1
262,Germany,Morocco,1
263,Algeria,Morocco,1
264,Algeria,Italy,1
265,Algeria,Morocco,1
266,Algeria,Italy,1
267,Algeria,Morocco,1
268,Algeria,Italy,1
269,Algeria,Morocco,1
270,Algeria,Italy,1
271,Algeria,Morocco,1
272,Algeria,Italy,1
273,Algeria,Morocco,1
274,Algeria,Italy,1
275,France,Germany,1
276,France,Germany,1
277,France,Germany,1
278,France,Germany,1
279,France,Germany,1
280,France,Germany,1
281,France,Germany,1
282,France,Germany,1
283,France,Germany,1
284,Germany,Poland,1
285,Germany,Poland,1
286,France,Germany,1
287,Germany,Poland,1
288,Germany,Poland,1
289,France,Germany,1
290,Germany,Poland,1
291,Germany,Poland,1
292,Germany,Poland,1
293,Germany,Poland,1
294,Germany,Poland,1
295,China,Japan,1
296,China,Japan,1
297,China,Japan,1
298,China,Japan,1
299,China,Japan,1
300,China,Japan,1
301,China,Japan,1
302,China,Japan,1
303,China,Japan,1
304,China,Japan,1
305,China,Japan,1
306,China,Japan,1
307,China,Japan,1
308,China,Japan,1
309,China,Japan,1
310,China,Japan,1
311,China,Japan,1
312,China,Japan,1
313,China,Japan,1
314,Germany,Japan,1
315,Germany,Japan,1
316,China,Japan,1
317,China,Japan,1
318,Germany,Japan,1
319,Germany,Japan,1
320,Germany,Japan,1
321,Germany,Japan,1
322,Japan,Thailand,1
323,Singapore,Thailand,1
324,Germany,Japan,1
325,Germany,Japan,1
326,Japan,Thailand,1
327,Singapore,Thailand,1
328,Germany,Japan,1
329,Germany,Japan,1
330,Japan,Thailand,1
331,Singapore,Thailand,1
332,Japan,Singapore,1
333,Germany,Japan,1
334,Germany,Japan,1
335,Japan,Thailand,1
336,Singapore,Thailand,1
337,Japan,Singapore,1
338,Japan,Philippines,1
339,Japan,Philippines,1
340,Japan,Thailand,1
341,Singapore,Thailand,1
342,Japan,Singapore,1
343,Japan,Philippines,1
344,Japan,Philippines,1
345,Japan,Thailand,1
346,Singapore,Thailand,1
347,Japan,Singapore,1
348,Japan,Philippines,1
349,Japan,Philippines,1
350,Japan,Philippines,1
351,Japan,Philippines,1
352,Japan,Philippines,1
353,Japan,Philippines,1
354,Japan,Philippines,1
355,India,Japan,1
356,India,Japan,1
357,India,Japan,1
358,India,Japan,1
359,India,Japan,1
360,India,Japan,1
361,India,Japan,1
362,India,Japan,1
363,India,Japan,1
364,India,Japan,1
365,India,Japan,1
366,India,Japan,1
367,China,Japan,1
368,China,Japan,1
369,China,Japan,1
370,China,Japan,1
371,China,Japan,1
372,China,Japan,1
373,China,Japan,1
374,Japan,Russia,1
375,France,Russia,1
376,China,France,1
377,China,India,1
378,India,Pakistan,1
379,Israel,Pakistan,1
380,Japan,Russia,1
381,France,Russia,1
382,China,France,1
383,China,India,1
384,India,Pakistan,1
385,Israel,Pakistan,1
386,Israel,Libya,1
387,Iran,Libya,1
388,France,Russia,1
389,China,France,1
390,China,India,1
391,India,Pakistan,1
392,Israel,Pakistan,1
393,Israel,Libya,1
394,Iran,Libya,1
395,France,Russia,1
396,China,France,1
397,China,India,1
398,India,Pakistan,1
399,Israel,Pakistan,1
400,Israel,Libya,1
401,Iran,Libya,1
402,France,Russia,1
403,China,France,1
404,China,India,1
405,India,Pakistan,1
406,Israel,Pakistan,1
407,Israel,Libya,1
408,Iran,Libya,1
409,Germany,Iran,1
410,France,Germany,1
411,France,Russia,1
412,China,France,1
413,China,India,1
414,India,Pakistan,1
415,Israel,Pakistan,1
416,Israel,Libya,1
417,Iran,Libya,1
418,Germany,Iran,1
419,France,Germany,1
420,Iran,Libya,1
421,Germany,Iran,1
422,France,Germany,1
423,France,Japan,1
424,France,Germany,1
425,France,Japan,1
426,France,Germany,1
427,France,Japan,1
428,France,Germany,1
429,France,Japan,1
430,India,Pakistan,1
431,India,Pakistan,1
432,Pakistan,Philippines,1
433,India,Pakistan,1
434,Pakistan,Philippines,1
435,Laos,Philippines,1
436,Cambodia,Laos,1
437,India,Pakistan,1
438,Pakistan,Philippines,1
439,Laos,Philippines,1
440,Cambodia,Laos,1
441,Cambodia,Kenya,1
442,Ghana,Kenya,1
443,India,Pakistan,1
444,Pakistan,Philippines,1
445,Laos,Philippines,1
446,Cambodia,Laos,1
447,Cambodia,Kenya,1
448,Ghana,Kenya,1
449,India,Pakistan,1
450,Pakistan,Philippines,1
451,Laos,Philippines,1
452,Cambodia,Laos,1
